"id","name"
"football.player.position_lw","lw"
"football.player.position_rw","rw"
"football.player.position_st","st"
"football.player.position_cam","cam"
"football.player.position_cm","cm"
"football.player.position_cdm","cdm"
"football.player.position_lb","lb"
"football.player.position_rb","rb"
"football.player.position_cb","cb"
"football.player.position_gk","gk"
